SubCatgCode,SubCatgDesc,
40305,KILLER LIQUID,
40306,KILLER SPRAY,
40307,KILLER CAKE,
40308,MOTH REPELLENT,
40309,MULTIPURPOSE CLEANERS,
40310,TOILET CLEANERS,
40311,FLOOR CLEANERS,
40312,DE-ODOURISERS,
40313,AIR FRESHNERS,
40401,COCKROACH REPELENT,
40402,MOSQUITO REPELLANT,
40403,RAT REPELLENT,
40501,SHOE BRUSHES,
40502,SHOE LACES,
40503,LIQUID POLISH,
40504,WAX POLISH,
40505,SHOE SHINER,
40506,SHOE ACCESSORIES,
40507,UC- BARS,
50101,MOUTH WASH,
50102,TOOTH PASTE,
50103,TOOTH POWDER,
50104,TOOTH BRUSH,
50105,OTHER ORAL CARE,
50106,SHAVING BRUSH,
50201,SHAVING CREAMS,
50202,SHAVING BLADES AND RAZORS,
50203,SHAVING FOAMS AND GELS,
50204,AFTER SHAVE PRODUCTS,
50205,SHAVING ACCESSORIES,
50301,DEODORANTS,
50302,COLONGE,
50303,PERFUME,
50304,ANTI-PERSPIRANTS,
50305,PERFUMED TALC,
50306,MEDICATED TALC,
50307,ROLL ONS,
50401,BABY PADS,
50402,SANITARY PADS,
50501,BABY CARE- SKIN,
50502,BABY CARE- HAIR,
50503,BABY CARE- ORAL,
50504,OTHER BABY NEEDS,
50601,HAIR OILS,
50602,SHAMPOOS,
50603,HAIR COLOURS,
50604,HAIR CONDITIONERS,
50605,HAIR ACESSORIES,
50606,HENNA,
50701,CREAMS,
50702,LOTIONS,
50703,CLEANSERS AND TONERS,
50704,FAIRNESS CREAMS AND LOTIONS,
50705,FACE WASH,
50706,FACE SCRUB,
50707,FACE PACKS,
50708,BLEACH,
50709,HAIR REMOVERS,
50710,REGULAR SOAPS,
50711,AYURVEDIC/MEDICATED SOAPS,
50712,GLYCERINE SOAPS,
50713,LIQUID SOAPS,
50714,OTHER SOAPS,
50715,BODY OILS,
50716,OTHER SKIN CARE,
50717,SHOWER GELS,
50801,NAIL WEAR,
50802,EYE WEAR,
50803,FACE WEAR,
50804,LIP WEAR,
50805,SINDUR,
50901,PAIN RELIEVERS,
50902,DIGESTIVES,
50903,ANTISEPTICS,
50904,FOOD SUPPLEMENTS,
50905,CONTRACEPTIVES,
50906,BANDAGES,
50907,OTHER OTC,
50908,SANITIZER,
50909,DISPOSABLES,
50910,LOW CAL SWEETNES,
50911,HAND WASH,
60101,BUTTER,
60102,CHEESE,
60103,DAHI,
60104,PANEER,
60105,CREAM BISCUITS,
60201,RAW,
60202,PROCESSED (COOKED ),
60301,RAW,
60302,PROCESSED (COOKED),
60401,ICE CANDIES,
60402,CREAM BASED,
60501,SANDWICH BREAD,
60502,MILK BREAD,
60503,BROWN BREAD,
60504,GARLIC BREAD,
60505,BUNS,
60506,PIZZA BASE,
60507,OTHER BREADS,
60508,NORMAL EGGS,
60509,SPECIALITY EGGS,
70101,BROOMS,
70102,WIPERS,
70103,FLOOR MOPS,
70104,DUSTERS,
70105,SCRUBBERS,
70106,BRUSHES,
70107,OTHER CLEANING TOOLS,
70108,RASSI,
70201,FACE TISSUES,
70202,PAPER NAPKING,
70203,TOILET ROLLS,
70204,KITCHEN TOWELS,
70205,WET TISSUES,
70206,ALUMINIUM FOIL,
70207,CLING FILM,
70208,GARBAGE BAGS,
70209,PLASTIC BAGS,
70210,STORAGE BAGS,
70211,DISPLOSABLE CROCKERY,
70212,DRINKING STRAWS,
70220,LEATHER SHOES,
70301,KNIVES,
70302,CUTTERS,
70303,GRATERS,
70304,DISPENSERS,
70305,STRAINERS,
70306,MEASURING TOOLS,
70307,CHOPPING BOARD,
70308,JUICER/SQUEEZER,
70309,GAS LIGHTERS,
70310,COSTERS AND MATS,
70311,OTHER KITCHENWARE,
70312,DINNAR SET,
70313,TEA SET,
70314,COFFEE MUG,
70315,PLATE,
70316,MILK MUG,
70317,TEA STRAINER,
70318,CHIMTA,
70401,BUCKETS/TUBS/MUGS,
70402,DUST BINS AND PANS,
70403,STOOL / PATRA,
70404,JARS AND CONTAINERS,
70405,SOAP CASE,
70406,TABLE TOP PRODUCTS,
70407,LUNCH BOX,
70408,SIPPERS,
70409,OTHERS PLASTIC WARE,
70410,SERVING TRAYS,
70411,BASKETS,
70412,PLASTIC BOWLS,
70413,PLASTIC PLATES,
70414,PLASTIC MUGS/GLASSES,
70415,COOK AND SERVE,
70416,PLASTIC BOTTLES,
70417,ICE TRAY,
70418,HOLDER,
70419,COSTER,
70420,SALT SET,
70421,GIFT SET,
70422,TRAY,
70423,KNIFE,
70424,RACK,
70425,STAINER,
70426,OTHER PLASTIC,
70504,DISHES,
70505,SETS,
70506,OTHER GLASSWARE,
70601,TAWA,
70602,KADAHI,
70603,FRYING PAN,
70604,SAUCE PAN,
70605,TUMBLER (BHAGONA),
70606,TADKA PAN,
70607,PRESSURE COOKER,
70608,OTHER COOKER,
70702,BOWLS,
70703,GLASSES,
70704,COOKING TOOLS,
70705,OTHER STEEL UTENSILS,
70801,COPPER JUG,
70802,COPPER GLASSES,
70901,CUTLERY SETS,
70902,SPOONS,
70903,KNIVES,
70904,SERVING SPOONS,
71001,NEEDLES,
71002,THREADS,
71003,BUTTONS/HOOKS,
71004,STITCHING KITS,
71005,TAILORING TAPE,
71006,SCISSORS,
71101,INCENSE STICKS,
71102,DHOOP,
71103,COTTON WICKS,
71104,OTHER POOJA NEEDS,
71201,SOCKS,
71202,HANDKERCHIEF,
71203,VESTS,
71204,BRIEFS,
71205,BOXER SHORTS,
71206,BRA,
71207,PANTY,
71208,SHIRT,
71209,JEANS,
71210,KIDS WARE,
71211,SUITS,
71213,TROUSERS,
71214,FROCK,
71215,INNER WR,
71216,FRENCHIE,
71217,CAP,
71301,BULBS,
71302,ENERGY SAVER -CFL,
71303,ELECTRICAL TOOLS,
71304,EXTENSION CORDS,
71305,OTHER ELECTRICAL GOODS/TOOLS,
71306,MOBILE PHONES,
71401,ROOM HEATERS,
71402,IMMERSION ROD,
71403,TOASTERS,
71404,IRONS,
71405,JUICER/MIXER/GRINDER,
71406,OVEN,
71407,OTHERS,
71501,NOTE BOOKS/REGISTERS/PADS,
71502,PENCILS,
71503,PENS,
71504,COLOURS,
71505,RUBBER/SHARPENERS,
71506,PENCIL BOX,
71507,TAPES AND ADHESIVE,
71508,ENVELOPES,
71509,GEOMETRY BOX AND INSTRUMENTS,
71510,OTHER STATIONARY,
71511,COLOUR PEN,
71512,ADDRESS BOOK,
71513,SLAM BOOK,
71601,NAIL CUTTERS,
71602,EAR BUDS,
71603,FILERS/CLIPPERS,
71604,COMBS,
71605,HAIR BRUSHES,
71606,HAIR DYE BRUSH,
71607,SAFETY PINS,
71608,RUBBER BANDS,
71609,TOOTH PICKS,
71610,BODY SPONGE,
71611,BODY SCRUBBER,
71612,FOOT SCRUBBER,
71701,PHOTO FILMS,
71702,PLAYING CARDS,
71703,COTTON TAPES,
71704,PLASTIC TAPE,
71705,CANDLES,
71706,MATCHES,
71707,CIGARETTES,
71708,CIGRAETEE LIGHTER,
71709,TOYS,
71710,PURSE,
71711,COVER,
71712,DORI,
71713,CHAIN,
71714,WATCH,
71715,FEVICOL,
71716,HAIR CLIP,
71717,LOOPS,
71718,LILY,
71719,SCHOOL BAG,
71720,BALLOONS,
71721,BINDI,
71801,HAND TOWELS,
71802,FACE TOWELS,
71803,BATH TOWELS,
71804,TOWEL SETS,
71805,BATTERIES,
71806,LOCK,
71807,CARRY BAG,
72001,COAT HANGER,
72002,SAREE/TROUSER HANGERS,
72003,KIDS HANGER,
72004,NORMAL HANGER,
72101,CLOTH CLIPS,
72102,CLOTH BRUSH,
72103,CLOTH LINE,
72104,LAUNDRY BAG / BASKET,
72105,CLOTH DRYING STAND,
72201,HAWAI CHAPPAL,
72202,LADIES SLIPPER,
72203,FLOATERS,
72204,SPORTS SHOES,
72205,SPORTS SHOES,
72301,DOOR MATS,
72302,BATHROOM MATS,
72303,TELEPHONE MATS,
72304,FLOOR MAT,
72401,BED SHEET - SINGLE,
72402,BED SHEET - DOUBLE,
72403,DIWAN SET,
72404,CUSHION COVERS,
72405,FILLERS,
72501,CASSEROLES,
72503,THERMOS FLASKS,
72504,WATER BOTTLES,
72505,OTHER THERMOWARE,
72601,INDOOR GAMES,
72602,OUTDOOR GAMES,
72801,SOFT LUGGAGE,
72901,UMBRELLA,
72902,TABLE,
72903,TEA MUG,
73001,GAS STOVES,
73002,EVERYOUTH,
73003,MOULDED PLASTIC FURNITURE,
73004,WOODEN FURNITURE,
73005,OTHER FURNITURE,
73201,ARTIFICIAL JEWELLRY,
73202,DOG,
73401,BOOKS,
73402,MAGAZINES,
93001,KIRANA,
93006,SOYA GRANULES,
99201,PAPAD,
99202,FRYAMS,
99203,CHIKKI,
99401,MILLETS,
99402,CEREALS,
